adID	Title	Location	AdPriority	Cost	Pictures	AdDuration	AdURL	Call	Email	Area	Bathrooms	Bedrooms
21	160 Sq Yd House For Sale Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14500000	12	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yd_house_for_sale_saima_arabian_villas-42505541-8856-1.html	TRUE	TRUE	160	3	3
22	Block C 160sqy Corner Furnished Bungalow Is Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	16500000	13	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_160sqy_corner_furnished_bungalow_is_available_for_sale_in_saima_arabian_villas_-38331875-8856-1.html	TRUE	TRUE	160	3	3
23	120 Sq Yd Single Storey West Open Well Furnished Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	12800000	20	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_single_storey_west_open_well_furnished_bungalow_available_for_sale-41933618-8856-1.html	TRUE	TRUE	120	2	2
24	Com 6 2 Bed DD West Open Fourth Floor With Roof Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	7800000	16	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_com_6_2_bed_dd_west_open_fourth_floor_with_roof_available_for_sale_in_saima_arabian_villas_-40156795-8856-1.html	TRUE	TRUE	106	2	2
25	Block C Double Story East Open Furnished Bungalow Is Available For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	15800000	12	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_double_story_east_open_furnished_bungalow_is_available_for_sale_in_saima_arabian_villas_-38348612-8856-1.html	TRUE	TRUE	120	4	4
26	(Leased) 4th Floor Flat With Roof Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7800000	27	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas__leased__4th_floor_flat_with_roof_available_for_sale_in_saima_arabian_villas-41729323-8856-1.html	TRUE	TRUE	106	2	2
27	Block C 160 SQ Yard Near To mosque east open  House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	17800000	11	3 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_block_c_160_sq_yard_near_to_mosque_east_open__house_available_for_sale_in_saima_arabian_villas-38331882-8856-1.html	TRUE	TRUE	160	6	6
28	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12800000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088476-8856-1.html	TRUE	TRUE	120		
29	End Your Search For Prime Location House Here And sale Now	"Saima Arabian Villas, Gadap Town"	Normal	12800000	5	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_end_your_search_for_prime_location_house_here_and_sale_now-41600613-8856-1.html	TRUE	TRUE	120		
30	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	15500000	20	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39021197-8856-1.html	TRUE	TRUE	120		
31	160 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	20500000	21	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088456-8856-1.html	TRUE	TRUE	160	6	6
