adID	Title	Location	AdPriority	Cost	Pictures	AdDuration	AdURL	Call	Email	Area	Bathrooms	Bedrooms
90	Luxury Well Maintained Flat In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5400000	1	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_well_maintained_flat_in_saima_arabian_villas-41493234-8856-1.html	TRUE	TRUE	74	2	3
91	2 Bed DD Flat With Roof Com 6 For Sale In Saima Arabian Villas.	"Saima Arabian Villas, Gadap Town"	Normal	7200000	1	1 day ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_2_bed_dd_flat_with_roof_com_6_for_sale_in_saima_arabian_villas_-35753389-8856-1.html	TRUE	TRUE	106	2	2
92	120 Sq Yd One Unit In Block A Furnished Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14500000	0	4 days ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_one_unit_in_block_a_furnished_saima_arabian_villas-35753623-8856-1.html	TRUE	TRUE	120	3	3
93	Get In Touch Now To Buy A House In Karachi	"Saima Arabian Villas, Gadap Town"	Normal	23000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_get_in_touch_now_to_buy_a_house_in_karachi-39557812-8856-1.html	TRUE	TRUE	240		
94	Ideal House For Sale In Gadap Town	"Saima Arabian Villas, Gadap Town"	Normal	12500000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_ideal_house_for_sale_in_gadap_town-29949963-8856-1.html	TRUE	TRUE	120	3	3
95	Get In Touch Now To Buy A House In Karachi	"Saima Arabian Villas, Gadap Town"	Normal	12100000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_get_in_touch_now_to_buy_a_house_in_karachi-29949912-8856-1.html	TRUE	TRUE	120	3	3
96	120 Sqyd Bungalow Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	18000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sqyd_bungalow_available_for_sale_in_saima_arabian_villas-41088463-8856-1.html	TRUE	TRUE	120		
97	Ready To Buy A House 2160 Square Feet In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	23000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_ready_to_buy_a_house_2160_square_feet_in_saima_arabian_villas-39557805-8856-1.html	TRUE	TRUE	240		
98	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14200000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426707-8856-1.html	TRUE	TRUE	160		
99	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	4400000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426687-8856-1.html	TRUE	TRUE	78		
100	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	15800000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426699-8856-1.html	TRUE	TRUE	120		
101	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12200000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426688-8856-1.html	TRUE	TRUE	120		
102	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	21000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426691-8856-1.html	TRUE	TRUE	240		
103	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	4400000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426686-8856-1.html	TRUE	TRUE	78		
104	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	21000000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426717-8856-1.html	TRUE	TRUE	240		
105	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	15800000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426721-8856-1.html	TRUE	TRUE	120		
106	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	4400000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426714-8856-1.html	TRUE	TRUE	78		
107	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	4400000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426715-8856-1.html	TRUE	TRUE	78		
108	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12200000	0	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426712-8856-1.html	TRUE	TRUE	120		
109	2 Bed Lounge Flat For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5450000	0	3 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_2_bed_lounge_flat_for_sale_in_saima_arabian_villas-41544502-8856-1.html	TRUE	TRUE	74	2	2
110	"751 Sq Ft, Gorgeous, 4th Floor Flat Saima Arabian Villas, Society"	"Saima Arabian Villas, Gadap Town"	Normal	7200000	5	3 months ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_751_sq_ft__gorgeous__4th_floor_flat_saima_arabian_villas__society-39300433-8856-1.html	TRUE	TRUE	83	2	3
111	120 Sq Yd West Open Double Storey Block B	"Saima Arabian Villas, Gadap Town"	Normal	17000000	17	2 months ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_west_open_double_storey_block_b-41462893-8856-1.html	TRUE	TRUE	120	5	4
112	Two Bed Lounge Flat Available For Sale Urgently In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	5300000	8	2 months ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_two_bed_lounge_flat_available_for_sale_urgently_in_saima_arabian_villas-41429534-8856-1.html	TRUE	TRUE	83	2	2
113	Flat For Sale In Beautiful Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	4600000	0	4 months ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_for_sale_in_beautiful_saima_arabian_villas-40245668-8856-1.html	TRUE	TRUE	78	2	2
